,value
morning_open_vol,0.004535863408448187
morning_avg_volume,2730.004897241639
afternoon_open_vol,0.0010814083261061348
afternoon_avg_volume,1523.5781716789484
night_open_vol,0.0011436015990381146
night_avg_volume,282.93135915699094
vol_percentile_25,0.00014055060727768726
vol_percentile_50,0.0003243173149008119
vol_percentile_75,0.0006778384744567064
vol_percentile_90,0.0012449684141124294
vol_percentile_95,0.0017949858388760273
total_5min_bars,115511.0
unique_trading_days,724.0
